,Z,N,M_ex,Esh,alpha2,alpha4,alpha6,S_Z0N1,S_Z0N2,S_Z1N0,S_Z2N0,exist
122,14,20,-20.3,-2.11,0.016,-0.001,0.0,7.961,13.122,18.249000000000002,33.658,valid
123,14,21,-15.49,-1.44,0.027,0.0,-0.006,3.2609999999999992,11.222,18.659,35.608000000000004,valid
124,14,22,-13.38,-1.0,0.027,0.001,-0.007,5.961,9.222,20.059,37.588,valid
125,14,23,-7.97,-0.85,0.026,0.002,-0.006,2.6609999999999987,8.622,20.488999999999997,39.337999999999994,valid
126,14,24,-5.2,-0.94,0.025,-0.002,-0.005,5.301,7.962,21.979,41.367999999999995,valid
127,14,25,0.71,-1.25,0.026,-0.002,-0.005,2.1609999999999996,7.462,22.469,43.428,valid
128,14,26,4.13,-1.76,0.024,-0.001,-0.002,4.651,6.811999999999999,23.939,45.708,valid
129,14,27,10.51,-2.47,0.026,-0.001,-0.004,1.6909999999999998,6.341999999999999,24.559000000000005,47.818,valid
130,14,28,14.52,-3.31,0.011,-0.001,0.0,4.061,5.751999999999999,26.058999999999997,49.94800000000001,valid
131,14,29,22.48,-3.22,0.023,0.0,-0.001,0.11099999999999888,4.171999999999999,26.218999999999994,51.278000000000006,valid
132,14,30,28.21,-3.19,0.025,-0.001,-0.002,2.3409999999999993,2.451999999999998,27.339,52.658,valid
133,14,32,43.03,-3.38,0.011,-0.001,-0.001,1.7509999999999994,1.3219999999999992,28.918999999999997,55.30800000000001,valid
134,15,12,-0.34,-1.37,0.047,-0.001,-0.003,19.201,35.842,0.4289999999999994,6.517999999999999,valid
135,15,13,-7.36,-1.98,0.041,-0.001,-0.004,15.091000000000001,34.292,1.9889999999999999,9.367999999999999,valid
136,15,14,-16.62,-3.01,0.021,-0.001,0.0,17.331000000000003,32.422,2.4590000000000014,13.698,valid
137,15,15,-19.95,-2.78,0.021,-0.001,0.0,11.400999999999998,28.732,5.659000000000001,17.477999999999998,valid
138,15,16,-23.85,-2.42,0.02,-0.001,0.0,11.971000000000002,23.372,6.709000000000001,20.318,valid
139,15,17,-23.38,-1.81,0.036,0.002,-0.003,7.600999999999997,19.572,8.278999999999998,22.407999999999998,valid
140,15,18,-24.93,-1.52,0.062,-0.001,0.0,9.621,17.221999999999998,8.899,24.648,valid
141,15,19,-23.53,-1.48,0.029,-0.007,-0.004,6.671000000000001,16.292,10.409,26.838,valid
142,15,20,-23.99,-1.7,0.016,-0.001,0.0,8.530999999999997,15.201999999999998,10.978999999999997,29.227999999999998,valid
143,15,21,-20.62,-1.02,0.044,0.01,0.0,4.701000000000002,13.232,12.419,31.078,valid
144,15,22,-19.12,-0.68,0.063,0.004,-0.004,6.571,11.272000000000002,13.029,33.088,valid
145,15,23,-15.12,-0.54,0.064,0.014,-0.004,4.070999999999998,10.641999999999998,14.439,34.928,valid
146,15,24,-12.86,-0.66,0.062,0.012,-0.004,5.811,9.881999999999998,14.948999999999998,36.928,valid
147,15,25,-8.31,-1.02,0.061,0.013,-0.003,3.521000000000001,9.332,16.308999999999997,38.778000000000006,valid
148,15,26,-5.37,-1.55,0.055,0.001,-0.005,5.130999999999999,8.652000000000001,16.789,40.728,valid
149,15,27,-0.25,-2.26,0.035,-0.008,0.0,2.9509999999999996,8.081999999999999,18.049,42.608000000000004,valid
150,15,28,3.31,-3.14,0.011,-0.001,0.0,4.510999999999999,7.462,18.499,44.558,valid
151,15,29,10.2,-2.91,0.032,0.004,-0.001,1.181000000000001,5.692,19.569000000000003,45.788,valid
152,15,30,15.61,-2.79,0.044,0.002,-0.004,2.6609999999999996,3.8420000000000005,19.889000000000003,47.227999999999994,valid
153,15,31,23.1,-2.71,0.03,-0.007,-0.001,0.5809999999999977,3.2419999999999973,20.899,48.578,valid
154,15,32,29.19,-2.68,0.011,-0.001,-0.001,1.9809999999999999,2.5619999999999976,21.128999999999998,50.048,valid
155,15,34,44.98,-1.74,0.009,0.0,0.0,0.8010000000000037,0.35200000000000387,22.759000000000007,52.44799999999999,valid
156,16,13,-3.17,-1.77,0.02,-0.001,0.0,15.631,36.581999999999994,3.0989999999999993,5.087999999999999,valid
157,16,14,-14.13,-2.7,0.02,-0.001,0.0,19.031,34.662,4.7989999999999995,7.258000000000001,valid
158,16,15,-18.47,-2.32,0.02,-0.001,0.0,12.410999999999998,31.442,5.808999999999999,11.468,valid
159,16,16,-25.54,-1.85,0.02,-0.001,0.0,15.141,27.552,8.978999999999997,15.687999999999999,valid
160,16,17,-25.61,-1.22,0.055,0.012,0.0,8.141,23.282,9.519,17.798,valid
161,16,18,-28.86,-0.99,0.073,0.003,-0.005,11.321,19.462,11.219,20.118,valid
162,16,19,-27.95,-0.94,0.035,-0.004,-0.003,7.161,18.482,11.708999999999998,22.118,valid
163,16,20,-29.96,-1.15,0.016,-0.001,0.0,10.081000000000001,17.242,13.259000000000002,24.238,valid
164,16,21,-27.14,-0.57,0.047,0.015,-0.001,5.2509999999999994,15.332,13.809,26.228,valid
165,16,22,-27.27,-0.38,0.09,0.021,-0.003,8.200999999999999,13.451999999999998,15.438999999999998,28.467999999999996,valid
166,16,23,-23.96,-0.51,0.115,0.029,-0.006,4.761000000000001,12.962,16.129,30.568,valid
167,16,24,-23.16,-0.69,0.115,0.007,-0.008,7.270999999999999,12.032,17.589,32.538,valid
168,16,25,-18.9,-0.94,0.099,-0.009,-0.006,3.810999999999998,11.081999999999997,17.878999999999998,34.188,valid
169,16,26,-17.18,-1.36,0.07,-0.01,-0.001,6.351000000000001,10.161999999999999,19.098999999999997,35.888,valid
170,16,27,-12.38,-2.03,0.037,-0.014,-0.002,3.271000000000001,9.622000000000002,19.419,37.468,valid
171,16,28,-10.03,-2.85,0.011,-0.001,0.0,5.720999999999998,8.991999999999999,20.628999999999998,39.128,valid
172,16,29,-3.49,-2.63,0.036,0.014,-0.004,1.5310000000000006,7.251999999999999,20.979,40.548,valid
173,16,30,0.78,-2.45,0.046,0.001,-0.005,3.8009999999999993,5.332000000000001,22.119,42.007999999999996,valid
174,16,31,8.04,-2.29,0.036,-0.01,-0.003,0.8110000000000008,4.612,22.349000000000004,43.248000000000005,valid
175,16,32,13.14,-2.1,0.011,-0.001,-0.001,2.9709999999999983,3.7819999999999983,23.339,44.468,valid
176,16,34,27.93,-0.77,0.009,0.0,0.0,1.6109999999999989,1.3520000000000003,24.339,47.098,valid
